FileName,ed_frame,es_frame,ed_area,es_area,area_ratio,n_traced,geometry_version
0X100009310A3BD7FC,46,61,1268.86,502.614,0.3961,2,echonet_dynamic_no_long_axis_v1
0X1002E8FBACD08477,3,18,1157.465,631.021,0.5452,2,echonet_dynamic_no_long_axis_v1
0X1005D03EED19C65B,24,35,773.485,425.049,0.5495,2,echonet_dynamic_no_long_axis_v1
0X10075961BC11C88E,91,108,1027.681,638.705,0.6215,2,echonet_dynamic_no_long_axis_v1
0X10094BA0A028EAC3,137,156,1959.875,1599.93,0.8163,2,echonet_dynamic_no_long_axis_v1
0X100CF05D141FF143,132,148,1257.391,735.645,0.5851,2,echonet_dynamic_no_long_axis_v1
0X100E3B8D3280BEC5,25,38,1239.69,909.129,0.7334,2,echonet_dynamic_no_long_axis_v1
0X100E491B3CD58DE2,49,75,1276.514,980.051,0.7678,2,echonet_dynamic_no_long_axis_v1
0X100F044876B98F90,56,72,1145.133,567.281,0.4954,2,echonet_dynamic_no_long_axis_v1
0X101026B90DAE7E95,45,62,1649.612,1126.705,0.683,2,echonet_dynamic_no_long_axis_v1
0X1012703CDC1436FE,154,172,2205.379,1578.947,0.716,2,echonet_dynamic_no_long_axis_v1
0X1013E8A4864781B,35,46,493.231,233.345,0.4731,2,echonet_dynamic_no_long_axis_v1
0X1018521A3BC5CDBA,42,57,1164.044,691.175,0.5938,2,echonet_dynamic_no_long_axis_v1
0X101C388397F66EDB,46,62,1742.543,953.248,0.547,2,echonet_dynamic_no_long_axis_v1
0X101CFC9C5351DCBE,59,73,1566.099,972.31,0.6208,2,echonet_dynamic_no_long_axis_v1
0X101E654AF3FC07A8,109,132,735.581,369.127,0.5018,2,echonet_dynamic_no_long_axis_v1
0X10267ADF2E644E0,150,172,1106.701,562.926,0.5087,2,echonet_dynamic_no_long_axis_v1
0X102AE9C68B2C46DA,48,63,826.132,550.183,0.666,2,echonet_dynamic_no_long_axis_v1
0X102C51641C321436,0,15,1676.733,1061.353,0.633,2,echonet_dynamic_no_long_axis_v1
0X102CFB07F752AAE6,163,184,1446.604,956.423,0.6612,2,echonet_dynamic_no_long_axis_v1
0X102DD1B9BE03716,52,71,1786.119,1101.149,0.6165,2,echonet_dynamic_no_long_axis_v1
0X102E453603FA1440,46,60,1900.653,940.619,0.4949,2,echonet_dynamic_no_long_axis_v1
0X102E94908346DE1D,116,138,994.292,700.954,0.705,2,echonet_dynamic_no_long_axis_v1
0X102F3D4CD5E10801,0,22,1553.739,1006.359,0.6477,2,echonet_dynamic_no_long_axis_v1
0X10365E52F01510B4,28,36,1440.449,813.091,0.5645,2,echonet_dynamic_no_long_axis_v1
0X1039108E17193B1C,60,79,1855.636,1083.213,0.5837,2,echonet_dynamic_no_long_axis_v1
